#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1165000,0.0,339.715743336318
1170000,0.0,338.37634682847084
1175000,0.0,320.156892027086
1180000,0.0,576.5069059569068
1185000,0.0,96.04529857998317
1190000,0.0,540.7496490336855
1195000,0.0,253.37687889050608
1200000,0.0,301.66818873209263
1205000,0.0,580.562636754196
1210000,0.0,101.37387714879229
1215000,0.0,267.86177495421583
1220000,0.0,15.3278783664584
1225000,0.0,96.19408429142445
1230000,0.0,48.69109215526873
1235000,0.0,1215.4747385014607
1240000,0.0,181.6485829029843
1245000,0.0,153.53046467685039
1250000,0.0,183.95636560911626
