#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1175000,-394346.4361218115,327.4968181430367
1180000,-394286.29631178913,332.17113282118635
1185000,-394117.23133389617,321.2444898641256
1190000,-393948.57731613633,337.64386772194507
1195000,-394019.4664209046,331.87408417614375
1200000,-394235.2450899609,318.40306476752016
1205000,-394228.74267800665,321.0105963216309
1210000,-393773.8056319646,325.0157044552231
1215000,-393822.95966852724,331.12101702045834
1220000,-393995.532790474,325.465238476998
1225000,-394098.6531204869,316.9884063113046
1230000,-394228.5395709576,333.50385214485146
1235000,-393955.8037628371,328.6110713504783
1240000,-393909.6733121037,328.53765748917886
1245000,-394232.9414146214,316.5657694364771
1250000,-393903.8428372311,314.26765759077267
